customer_id,name,signup_date
86,Customer_86,2024-02-22
87,Customer_87,2024-10-06
88,Customer_88,2024-08-04
89,Customer_89,2024-09-08
90,Customer_90,2024-07-06
91,Customer_91,2024-02-10
92,Customer_92,2024-06-05
93,Customer_93,2024-01-15
94,Customer_94,2024-10-27
95,Customer_95,2024-03-05
96,Customer_96,2024-12-10
97,Customer_97,2024-11-22
98,Customer_98,2024-01-09
99,Customer_99,2024-12-09
100,Customer_100,2024-05-08
101,Customer_101,2024-05-15
102,Customer_102,2024-03-03
103,Customer_103,2024-05-18
104,Customer_104,2024-03-21
105,Customer_105,2024-06-11
106,Customer_106,2024-10-15
107,Customer_107,2024-09-17
108,Customer_108,2024-08-18
109,Customer_109,2024-02-10
110,Customer_110,2024-01-28
111,Customer_111,2024-05-14
112,Customer_112,2024-07-19
113,Customer_113,2024-11-23
114,Customer_114,2024-09-24
115,Customer_115,2024-02-02
116,Customer_116,2024-02-17
117,Customer_117,2024-03-02
118,Customer_118,2024-08-03
119,Customer_119,2024-10-19
120,Customer_120,2024-04-08
121,Customer_121,2024-06-20
122,Customer_122,2024-12-25
123,Customer_123,2024-08-01
124,Customer_124,2024-02-04
125,Customer_125,2024-08-14
126,Customer_126,2024-04-10
127,Customer_127,2024-05-10
128,Customer_128,2024-09-13
129,Customer_129,2024-01-05
130,Customer_130,2024-08-05
131,Customer_131,2024-09-11
132,Customer_132,2024-12-24
133,Customer_133,2024-10-09
134,Customer_134,2024-07-25
135,Customer_135,2024-01-15
136,Customer_136,2024-12-11
137,Customer_137,2024-02-11
138,Customer_138,2024-06-27
139,Customer_139,2024-03-03
140,Customer_140,2024-12-17
141,Customer_141,2024-08-18
142,Customer_142,2024-08-28
143,Customer_143,2024-02-21
144,Customer_144,2024-04-05
145,Customer_145,2024-08-09
146,Customer_146,2024-08-18
147,Customer_147,2024-08-24
148,Customer_148,2024-05-22
149,Customer_149,2024-06-19
150,Customer_150,2024-01-29
151,Customer_151,2024-02-05
152,Customer_152,2024-01-13
153,Customer_153,2024-06-08
154,Customer_154,2024-11-22
155,Customer_155,2024-07-05
156,Customer_156,2024-08-30
157,Customer_157,2024-03-26
158,Customer_158,2024-10-10
159,Customer_159,2024-03-06
160,Customer_160,2024-06-18
161,Customer_161,2024-02-14
162,Customer_162,2024-03-02
163,Customer_163,2024-05-13
164,Customer_164,2024-10-10
165,Customer_165,2024-01-28
166,Customer_166,2024-04-17
167,Customer_167,2024-02-13
168,Customer_168,2024-12-05
169,Customer_169,2024-10-12
170,Customer_170,2024-11-26
171,Customer_171,2024-05-07
172,Customer_172,2024-12-13
173,Customer_173,2024-08-18
174,Customer_174,2024-07-08
175,Customer_175,2024-08-12
176,Customer_176,2024-10-09
177,Customer_177,2024-04-30
178,Customer_178,2024-04-25
179,Customer_179,2024-08-20
180,Customer_180,2024-09-15
181,Customer_181,2024-12-24
182,Customer_182,2024-07-16
183,Customer_183,2024-05-16
184,Customer_184,2024-11-13
185,Customer_185,2024-06-13
186,Customer_186,2024-08-12
187,Customer_187,2024-11-02
188,Customer_188,2024-08-21
189,Customer_189,2024-06-20
190,Customer_190,2024-05-31
191,Customer_191,2024-11-10
192,Customer_192,2024-06-08
193,Customer_193,2024-04-05
194,Customer_194,2024-08-20
195,Customer_195,2024-06-28
196,Customer_196,2024-04-22
197,Customer_197,2024-11-13
198,Customer_198,2024-02-21
199,Customer_199,2024-09-24
200,Customer_200,2024-10-21
